Metafile,Thumbnails Found,Screenshots Found,Thumbnails Missing,Screenshots Missing
1000383,5,5,0,0,
1000384,5,5,0,0,
1000386,5,5,0,0,
1000387,3,3,0,0,
1000388,5,5,0,0,
1000389,4,4,0,0,
1000390,5,5,0,0,
1000391,5,5,0,0,
1000392,5,5,0,0,
1000393,5,5,0,0,
1000394,4,4,0,0,
1000395,5,5,0,0,
1000396,5,5,0,0,
1000397,3,3,0,0,
1000398,4,4,0,0,
1000399,3,3,0,0,
10004,5,5,0,0,
1000400,5,5,0,0,
1000401,2,0,0,0,
1000402,3,3,0,0,
1000404,3,3,0,0,
1000405,3,3,0,0,
1000406,5,5,0,0,
1000407,25,5,0,0,
1000408,5,5,0,0,
1000409,5,5,0,0,
1000411,2,0,0,0,
1000412,5,5,0,0,
1000413,3,3,0,0,
1000414,2,0,0,0,
1000415,5,5,0,0,
1000416,5,5,0,0,
1000418,5,5,0,0,
1000419,3,3,0,0,
1000421,5,5,0,0,
1000423,3,3,0,0,
1000425,5,5,0,0,
1000427,5,5,0,0,
